overall_accuracy,overall_avg_response_time,overall_task_completion_rate,overall_retry_count,overall_hint_count,overall_prompt_dependency_score,overall_idle_time_seconds,overall_invalid_touch_count,copy_me_accuracy,match_it_accuracy,my_turn_your_turn_accuracy,do_what_i_say_accuracy,communication_level,social_level,play_level,attention_level
0.5204,6.1896,0.6388,1,1,0.252,32,18,0.2642,0.9341,0.2011,0.8468,1,0,2,0
0.2424,5.4765,0.3615,1,6,0.5187,44,10,0.281,0.1472,0.0512,0.3973,0,0,0,0
0.5394,11.4925,0.6935,1,3,0.0705,15,6,0.8276,0.6359,0.6684,0.1964,1,1,1,2
0.5702,11.3956,0.6142,5,1,0.1567,24,1,0.7088,0.5423,0.8583,0.1338,1,2,1,1
0.3409,3.9943,0.4011,4,10,0.0472,13,6,0.1411,0.235,0.221,0.6775,1,0,0,2
0.3444,3.2937,0.3783,1,9,0.2772,10,1,0.1882,0.3747,0.4348,0.3151,0,1,0,2
0.4267,5.3787,0.5036,2,5,0.4235,9,18,0.3275,0.4077,0.4902,0.6449,1,1,1,1
0.3612,11.6924,0.2659,4,9,0.5602,17,11,0.2536,0.2917,0.1055,0.727,1,0,0,0
0.6414,10.9792,0.7643,2,8,0.6786,24,2,0.7866,0.4268,0.532,0.8302,2,1,1,0
0.5749,9.9888,0.4924,2,9,0.1199,49,19,0.7704,0.6598,0.6082,0.1583,1,1,1,0
0.6769,5.575,0.8289,2,2,0.3775,46,1,0.4419,0.9475,0.6145,0.8007,1,1,2,1
0.669,7.6733,0.6717,5,8,0.7205,21,3,0.4623,0.8361,0.7579,0.6108,1,2,2,0
0.3686,7.8941,0.3869,2,2,0.0356,19,10,0.5564,0.1409,0.3075,0.5321,1,0,0,0
0.535,10.9188,0.5113,4,3,0.0192,37,18,0.5978,0.6743,0.0849,0.8506,2,0,1,0
0.4393,10.1711,0.336,3,7,0.2559,49,9,0.3023,0.4925,0.6766,0.1384,0,1,1,0
0.5179,3.1692,0.6088,3,1,0.2956,41,10,0.2191,0.2403,0.7916,0.7169,1,2,0,1
0.5226,11.1393,0.5985,2,8,0.6694,12,9,0.8162,0.8414,0.0761,0.2235,1,0,2,0
0.3286,7.6622,0.3899,1,10,0.3323,9,17,0.5046,0.6219,0.1615,0.0775,0,0,1,1
0.4909,8.2975,0.5677,1,4,0.6438,48,17,0.7241,0.67,0.3066,0.3979,1,0,1,0
0.4459,4.1501,0.4666,2,10,0.7648,30,0,0.068,0.7523,0.7408,0.058,0,2,2,1
0.4283,5.6701,0.4698,3,7,0.0972,34,16,0.6285,0.4314,0.3888,0.3638,1,0,1,0
0.5865,8.2262,0.5337,1,6,0.8184,3,20,0.809,0.3868,0.6326,0.5981,2,1,0,0
0.5639,8.4356,0.6253,4,6,0.6467,40,12,0.8531,0.3189,0.1849,0.7389,2,0,0,0
0.4679,9.1288,0.5913,3,8,0.2112,29,4,0.9477,0.2835,0.4267,0.3994,1,1,0,1
0.7436,2.8434,0.8286,4,6,0.2457,9,2,0.8659,0.6547,0.5066,0.8109,2,1,1,2
0.3253,4.9788,0.4258,2,9,0.2475,15,16,0.2148,0.6617,0.3521,0.1304,0,0,1,2
0.6517,5.5075,0.817,0,7,0.2834,25,17,0.4735,0.8298,0.5752,0.8999,1,1,2,0
0.3868,9.6789,0.3606,4,2,0.4632,16,14,0.1736,0.2303,0.4183,0.5625,0,1,0,0
0.3935,2.4244,0.5177,4,4,0.5838,24,15,0.621,0.0542,0.2962,0.7351,1,0,0,0
0.3941,3.5011,0.3103,4,3,0.6429,16,17,0.9188,0.395,0.084,0.2295,1,0,0,0
0.4077,4.5537,0.3406,4,4,0.6914,41,6,0.6742,0.3599,0.166,0.3952,1,0,0,1
0.7396,5.7356,0.7008,3,1,0.217,47,18,0.8492,0.9459,0.3585,0.8612,2,0,2,0
0.4834,7.1147,0.3777,6,7,0.0462,44,5,0.7107,0.5807,0.2021,0.3799,1,0,1,1
0.4385,8.7995,0.4873,2,7,0.5988,24,3,0.6382,0.0678,0.6708,0.4251,1,1,0,0
0.46,2.6971,0.3532,1,2,0.101,36,2,0.6462,0.293,0.5951,0.1734,1,1,0,2
0.4101,11.2978,0.3404,0,7,0.3141,25,4,0.2867,0.5208,0.2315,0.6831,1,0,1,1
0.5851,4.1869,0.654,5,3,0.2196,36,2,0.8662,0.8017,0.6521,0.1842,1,1,2,2
0.2041,2.4975,0.3255,0,10,0.7203,16,15,0.4678,0.1398,0.2072,0.0855,0,0,0,0
0.4287,3.4201,0.5362,6,3,0.3807,5,16,0.647,0.2035,0.3718,0.4439,1,0,0,2
0.6838,11.3959,0.5824,2,5,0.1514,35,1,0.3971,0.8156,0.7699,0.634,1,2,2,1
0.4952,11.7212,0.4166,5,1,0.1241,34,17,0.772,0.6606,0.2131,0.3918,1,0,1,0
0.3029,7.4326,0.352,4,4,0.929,38,12,0.4202,0.0914,0.2855,0.3328,0,0,0,0
0.4705,10.3098,0.4821,6,1,0.5304,34,8,0.5208,0.6805,0.1357,0.6455,1,0,1,0
0.6497,11.6865,0.5315,1,6,0.0478,25,5,0.6291,0.1912,0.814,0.8167,2,2,0,1
0.472,6.7224,0.5913,1,4,0.6207,22,2,0.4129,0.2615,0.4632,0.7711,1,1,0,0
0.3437,8.5505,0.3079,2,1,0.9028,25,4,0.5514,0.0502,0.1318,0.5938,1,0,0,0
0.4652,9.4729,0.5322,2,8,0.2107,36,2,0.2506,0.459,0.5541,0.6078,1,1,1,1
0.5627,9.0764,0.5492,3,2,0.1016,7,14,0.918,0.3128,0.5198,0.6819,2,1,0,1
0.648,10.2934,0.5533,4,4,0.5594,21,19,0.8872,0.4036,0.4613,0.7533,2,1,1,0
0.5589,6.5708,0.468,5,2,0.4829,47,17,0.6426,0.9106,0.1712,0.4989,1,0,2,0
0.4706,11.7848,0.5812,4,3,0.8701,25,8,0.5707,0.7074,0.1655,0.3987,1,0,2,0
0.6083,8.8657,0.6921,4,8,0.8177,37,6,0.9172,0.9234,0.4576,0.17,1,1,2,0
0.4279,11.5624,0.5114,4,3,0.4787,49,13,0.6193,0.2308,0.6118,0.3115,1,1,0,0
0.4084,4.5022,0.3961,5,6,0.8049,37,17,0.1539,0.367,0.4823,0.5636,0,1,0,0
0.3092,10.3135,0.2244,2,9,0.6561,14,5,0.0727,0.1808,0.6532,0.2299,0,1,0,1
0.4827,3.9948,0.575,5,3,0.7451,37,11,0.0791,0.7826,0.1422,0.8312,1,0,2,0
0.758,4.1391,0.6886,4,7,0.5895,28,0,0.648,0.8838,0.3988,0.911,2,0,2,1
0.7716,11.625,0.7828,1,5,0.2795,30,16,0.797,0.8703,0.6842,0.6329,2,1,2,0
0.3245,4.1777,0.3708,5,2,0.314,7,12,0.2183,0.2064,0.5125,0.3895,0,1,0,2
0.39,5.2599,0.4439,2,2,0.7448,25,11,0.1883,0.3404,0.0958,0.8891,1,0,0,0
0.3177,4.9848,0.2369,1,9,0.3428,11,4,0.2155,0.1114,0.5046,0.4243,0,1,0,2
0.7506,7.9439,0.8669,4,5,0.5901,22,18,0.5274,0.947,0.7913,0.933,2,2,2,0
0.6317,5.4371,0.5984,2,0,0.7627,46,16,0.3388,0.8743,0.9005,0.3973,0,2,2,0
0.5912,2.1875,0.7635,4,8,0.6368,27,0,0.8585,0.2233,0.5125,0.9034,2,1,0,1
0.4956,9.3424,0.5418,3,3,0.1461,32,19,0.4318,0.1435,0.534,0.6825,1,1,0,0
0.3937,8.1173,0.3431,0,7,0.4114,13,8,0.1288,0.0988,0.7648,0.5523,0,2,0,1
0.6325,2.6144,0.6991,2,1,0.7475,4,19,0.5314,0.6273,0.6065,0.7304,1,1,1,1
0.5556,9.8736,0.5916,5,1,0.5184,7,8,0.7387,0.4439,0.4056,0.6447,1,1,1,0
0.7384,2.794,0.8884,3,4,0.0048,28,11,0.6596,0.8728,0.7655,0.7064,1,2,2,1
0.6877,3.19,0.7065,4,2,0.2097,32,10,0.9023,0.3242,0.7235,0.8632,2,2,0,1
0.6973,4.5519,0.8026,0,6,0.064,23,11,0.2132,0.7697,0.817,0.8162,1,2,2,1
0.3704,6.2318,0.4653,2,6,0.5855,45,6,0.4885,0.3478,0.1654,0.6399,1,0,0,0
0.3773,6.0793,0.3883,1,8,0.7981,11,15,0.559,0.378,0.3347,0.4355,1,0,0,0
0.5063,10.5165,0.4451,3,3,0.133,30,17,0.8401,0.4666,0.3729,0.3249,1,0,1,0
0.2885,7.6954,0.1956,4,6,0.861,29,8,0.8477,0.1188,0.1179,0.0668,1,0,0,0
0.61,6.3794,0.7307,2,4,0.4849,37,6,0.9489,0.4749,0.7477,0.3792,1,2,1,1
0.6761,11.4615,0.7381,4,6,0.6264,22,4,0.6464,0.8132,0.7759,0.6026,1,2,2,0
0.3548,11.0311,0.3908,3,5,0.3432,2,4,0.4852,0.3729,0.2469,0.4889,1,0,0,2
0.5145,7.2157,0.6198,4,4,0.1652,42,5,0.0918,0.9325,0.3417,0.6834,0,0,2,1
0.6266,6.612,0.615,3,5,0.458,18,17,0.638,0.8019,0.515,0.3887,1,1,2,0
0.2518,2.7425,0.2274,5,8,0.2188,18,14,0.1751,0.199,0.1194,0.6291,1,0,0,1
0.3831,3.1919,0.2554,0,6,0.5981,2,11,0.4834,0.4809,0.2396,0.1951,0,0,1,1
0.3867,8.4483,0.4177,1,5,0.2693,1,14,0.1003,0.2824,0.212,0.9124,1,0,0,1
0.7038,8.4263,0.7924,3,3,0.2513,41,4,0.9435,0.8306,0.2035,0.7973,2,0,2,1
0.3842,5.9078,0.3739,1,5,0.1421,43,10,0.4581,0.5815,0.2568,0.3969,1,0,1,0
0.4485,10.189,0.5073,4,6,0.8521,7,12,0.6033,0.0851,0.7555,0.503,1,2,0,0
0.3527,7.685,0.4803,5,8,0.7043,39,8,0.5198,0.3833,0.0891,0.5268,1,0,0,0
0.2977,3.4847,0.2326,5,7,0.6737,44,8,0.1379,0.1705,0.4794,0.2593,0,1,0,0
0.3617,4.1631,0.3707,3,4,0.8122,8,13,0.156,0.0565,0.6391,0.669,1,1,0,1
0.5564,4.1647,0.5486,2,7,0.2913,19,11,0.298,0.6625,0.7295,0.4219,0,2,1,1
0.7192,5.7059,0.7994,2,6,0.3215,8,4,0.7122,0.8195,0.6434,0.723,2,1,2,2
0.4225,2.1728,0.3998,0,0,0.2107,46,9,0.6861,0.1947,0.9181,0.0548,0,2,0,1
0.6345,8.2231,0.6627,1,6,0.417,47,16,0.3959,0.936,0.6026,0.5189,1,1,2,0
0.4393,4.0122,0.3956,1,10,0.0003,8,1,0.7735,0.3074,0.0802,0.5896,1,0,0,2
0.5274,4.4872,0.6099,5,3,0.7883,3,2,0.7517,0.3678,0.4056,0.5775,1,1,0,2
0.5521,2.6179,0.5529,2,9,0.0688,13,8,0.917,0.2989,0.5957,0.2251,1,1,0,2
0.8335,9.5847,0.8995,4,3,0.7196,48,11,0.7726,0.911,0.8385,0.7818,2,2,2,0
0.2747,3.9143,0.3764,6,6,0.2999,50,14,0.4646,0.5781,0.0746,0.1546,0,0,1,1
0.3336,6.5038,0.4215,6,3,0.3359,4,19,0.0588,0.799,0.2734,0.1337,0,0,2,1
0.7038,3.629,0.8177,3,1,0.2372,44,4,0.9024,0.6648,0.8689,0.4991,2,2,1,2
0.5938,6.5641,0.6734,3,9,0.5896,27,1,0.146,0.8782,0.6582,0.6471,0,1,2,0
0.8208,2.0686,0.7493,2,4,0.7593,11,12,0.8573,0.8319,0.4917,0.936,2,1,2,1
0.493,1.6241,0.5199,3,3,0.2002,23,14,0.5022,0.4043,0.6677,0.2073,0,1,1,1
0.4202,3.7106,0.4763,2,9,0.6657,18,10,0.6015,0.2837,0.5437,0.2634,1,1,0,0
0.2853,6.0383,0.2374,1,11,0.3618,13,5,0.3017,0.2119,0.168,0.5683,1,0,0,2
0.4666,9.746,0.5294,3,6,0.285,26,14,0.1846,0.7751,0.2089,0.4996,0,0,2,0
0.4893,5.2901,0.5491,5,3,0.5323,22,7,0.4086,0.6715,0.104,0.7824,1,0,1,0
0.4635,9.6932,0.5376,4,5,0.3374,32,3,0.0679,0.1591,0.8306,0.9168,1,2,0,1
0.5793,5.0426,0.5023,3,8,0.5997,8,16,0.7129,0.8507,0.393,0.3079,1,0,2,0
0.2043,6.1714,0.192,3,7,0.8197,32,5,0.1142,0.1958,0.2554,0.3352,0,0,0,0
0.4298,2.3407,0.4725,1,1,0.1586,47,14,0.919,0.4226,0.2155,0.0708,1,0,1,1
0.4928,8.3757,0.3872,2,2,0.8412,13,3,0.8408,0.5436,0.0737,0.4073,1,0,1,1
0.426,6.4996,0.539,3,3,0.9262,43,7,0.3058,0.6138,0.1681,0.8047,1,0,1,0
0.5748,6.9963,0.6228,2,3,0.6076,32,11,0.4504,0.9226,0.6779,0.2093,0,1,2,0
0.5102,10.4034,0.5101,3,0,0.3267,0,16,0.5357,0.7742,0.4477,0.3792,1,1,2,1
0.573,5.4233,0.5532,3,4,0.3911,12,0,0.8799,0.9023,0.4794,0.0582,1,1,2,2
0.4017,11.0545,0.431,4,3,0.7672,12,15,0.1969,0.7134,0.4008,0.3905,0,1,2,0
0.6523,4.3574,0.6564,1,0,0.5916,32,12,0.7186,0.7779,0.4216,0.8181,2,1,2,0
0.2233,3.0822,0.3252,2,4,0.4689,36,5,0.0947,0.5315,0.2173,0.142,0,0,1,2
0.7198,9.6444,0.8477,2,2,0.0678,48,1,0.7695,0.9482,0.4673,0.7623,2,1,2,1
0.6638,9.245,0.5993,2,7,0.0318,39,9,0.8074,0.7855,0.7954,0.1598,1,2,2,0
0.6291,11.3429,0.6287,1,5,0.4949,31,1,0.519,0.9339,0.4755,0.6633,1,1,2,1
0.499,4.3991,0.596,4,0,0.1137,16,3,0.2289,0.8488,0.8273,0.246,0,2,2,2
0.4639,7.9958,0.3992,6,6,0.8843,8,2,0.0878,0.7551,0.4777,0.5866,0,1,2,1
0.5069,9.4453,0.5025,2,2,0.7652,49,16,0.1038,0.6301,0.6812,0.7623,1,1,1,0
0.5167,3.4926,0.5276,2,7,0.1773,15,14,0.6703,0.3724,0.1713,0.8588,2,0,0,2
0.5864,5.3547,0.5683,3,3,0.0007,15,5,0.2978,0.7982,0.873,0.5491,1,2,2,2
0.4372,5.5687,0.5436,3,6,0.4979,33,11,0.217,0.0668,0.8211,0.7484,1,2,0,0
0.4319,10.6717,0.3462,3,1,0.192,42,3,0.6017,0.3403,0.6268,0.1494,0,1,0,1
0.6531,2.2442,0.597,1,4,0.8837,18,12,0.5639,0.8027,0.6421,0.5232,1,1,2,0
0.4679,8.9386,0.5966,2,0,0.7825,21,7,0.8508,0.122,0.7709,0.1046,1,2,0,0
0.5226,7.025,0.6441,3,2,0.2363,27,4,0.1133,0.3235,0.9001,0.9145,1,2,0,1
0.4652,3.2515,0.4941,2,3,0.1714,33,18,0.7243,0.4237,0.145,0.6248,1,0,1,1
0.4707,9.5239,0.6371,4,6,0.4091,16,7,0.1924,0.9486,0.4487,0.3671,0,1,2,0
0.5809,9.1263,0.7459,3,5,0.9338,22,8,0.5568,0.2425,0.7391,0.8835,2,2,0,0
0.4945,4.3975,0.3644,3,9,0.526,41,14,0.9441,0.3217,0.3203,0.2497,1,0,0,0
0.1912,2.465,0.25,6,9,0.3798,12,16,0.1892,0.084,0.3701,0.1746,0,0,0,2
0.6348,4.6541,0.6599,3,1,0.6942,45,12,0.7012,0.7636,0.2056,0.7931,2,0,2,0
0.4898,8.3542,0.6151,0,8,0.5722,43,5,0.1003,0.7438,0.3631,0.7854,1,0,2,0
0.3003,9.1816,0.361,3,7,0.3732,11,1,0.3942,0.3243,0.0871,0.5359,1,0,0,2
0.3307,5.6915,0.2881,3,8,0.0808,29,1,0.5043,0.2499,0.3108,0.4049,1,0,0,1
0.3605,4.0856,0.2943,5,4,0.0681,31,15,0.1673,0.1714,0.5534,0.4891,0,1,0,1
0.5094,4.7006,0.5047,3,9,0.9383,30,0,0.8817,0.1306,0.6546,0.4312,1,1,0,1
0.3465,2.6799,0.37,6,10,0.0518,38,17,0.448,0.1812,0.0904,0.7864,1,0,0,1
0.5503,7.1491,0.6017,3,2,0.1936,1,4,0.8319,0.7881,0.0624,0.6744,2,0,2,2
0.4638,3.2884,0.5577,4,6,0.2698,33,1,0.4847,0.7069,0.1772,0.6789,1,0,2,2
0.2757,1.7003,0.4116,4,3,0.824,33,17,0.0978,0.6393,0.0575,0.3998,0,0,1,0
0.4855,6.3089,0.4817,0,3,0.88,9,10,0.3926,0.929,0.1396,0.3339,0,0,2,0
0.3527,11.7716,0.356,5,7,0.4762,31,5,0.5265,0.3502,0.4041,0.1913,0,1,0,1
0.6435,8.3978,0.6081,2,8,0.0834,8,18,0.8408,0.8514,0.7834,0.0765,1,2,2,1
0.3991,7.1935,0.5764,1,6,0.1964,45,7,0.6012,0.613,0.2547,0.2663,1,0,1,0
0.6547,3.0241,0.5861,4,3,0.8864,50,20,0.7701,0.8263,0.3281,0.6846,2,0,2,0
0.5249,5.8474,0.5687,3,9,0.3907,38,18,0.5516,0.9037,0.1565,0.3358,1,0,2,0
0.6587,4.3021,0.6442,1,2,0.5387,38,12,0.8547,0.8899,0.2964,0.7512,2,0,2,0
0.5478,10.4474,0.5987,1,2,0.4669,36,7,0.6686,0.3733,0.6693,0.4789,1,1,0,0
0.2847,2.1944,0.379,6,10,0.8807,49,15,0.079,0.7381,0.0635,0.2929,0,0,2,0
0.3823,4.7854,0.3023,5,6,0.5809,37,8,0.4909,0.3424,0.4618,0.2721,0,1,0,0
0.6546,6.9464,0.7662,4,5,0.3758,2,20,0.5227,0.8382,0.7582,0.5186,1,2,2,1
0.3745,5.9359,0.3608,0,6,0.5825,41,9,0.5145,0.6176,0.0944,0.3121,1,0,1,0
0.4943,2.9207,0.6276,2,2,0.3929,47,14,0.178,0.7969,0.4565,0.7004,1,1,2,1
0.4659,9.0429,0.5638,1,4,0.1174,45,16,0.5813,0.6914,0.2317,0.4592,1,0,1,0
0.5151,9.5667,0.6514,3,6,0.8666,19,8,0.3766,0.5214,0.3957,0.762,1,0,1,0
0.4717,8.0778,0.4571,1,2,0.1117,38,9,0.1851,0.8319,0.211,0.6908,1,0,2,0
0.5471,7.6831,0.4441,2,1,0.4519,44,5,0.6103,0.2778,0.4628,0.8199,2,1,0,1
0.5084,8.3594,0.609,5,7,0.0349,2,3,0.5901,0.2702,0.5426,0.6078,1,1,0,2
0.5155,8.7609,0.4684,4,2,0.5652,34,12,0.8042,0.3186,0.8783,0.0941,1,2,0,0
0.4932,5.9869,0.5054,2,1,0.5229,19,1,0.4598,0.5711,0.8883,0.1338,0,2,1,0
0.5243,8.1043,0.5577,3,7,0.9378,5,15,0.6752,0.297,0.5243,0.5222,1,1,0,0
0.6653,2.862,0.715,2,5,0.5345,50,7,0.8905,0.9377,0.3085,0.598,2,0,2,0
0.5458,2.7382,0.3982,4,10,0.8057,1,13,0.4933,0.2119,0.5985,0.6877,1,1,0,1
0.4389,4.7316,0.4381,2,0,0.4814,14,16,0.4226,0.3504,0.5544,0.6238,1,1,0,2
0.5356,8.561,0.5266,4,6,0.8704,17,7,0.6673,0.3572,0.702,0.6044,1,2,0,0
0.6045,10.2686,0.717,4,3,0.2844,21,15,0.4833,0.6145,0.8529,0.5333,1,2,1,0
0.5904,1.8273,0.5399,3,8,0.9344,48,6,0.5323,0.2374,0.6669,0.7696,1,1,0,1
0.6197,5.8456,0.6709,1,4,0.4722,16,1,0.5639,0.4006,0.5857,0.8281,1,1,1,1
0.4343,1.7618,0.5003,3,2,0.4585,46,9,0.9057,0.2445,0.3221,0.151,1,0,0,1
0.6793,8.6055,0.8329,3,4,0.1261,41,19,0.8813,0.7092,0.5213,0.748,2,1,2,0
0.5575,1.9845,0.5874,4,3,0.4945,4,9,0.6923,0.5201,0.0537,0.8891,2,0,1,2
0.4924,2.7353,0.4923,2,0,0.1419,16,9,0.5698,0.3309,0.8529,0.3388,1,2,0,1
0.413,4.0707,0.3665,4,4,0.0677,35,6,0.6107,0.5127,0.2359,0.3653,1,0,1,2
0.3976,7.7593,0.3504,5,7,0.5631,21,4,0.4493,0.1671,0.4737,0.6579,1,1,0,0
0.6204,6.3898,0.6367,4,8,0.1252,49,15,0.6047,0.3312,0.7857,0.6916,1,2,0,0
0.5682,7.9779,0.5296,2,6,0.8672,11,17,0.4714,0.46,0.666,0.6892,1,1,1,0
0.6307,3.2934,0.6965,3,1,0.7295,18,9,0.6487,0.7599,0.8442,0.458,1,2,2,0
0.5246,5.8411,0.6078,3,9,0.5898,27,8,0.1426,0.7858,0.7671,0.3433,0,2,2,0
0.5575,3.9796,0.5379,0,9,0.6295,39,11,0.3954,0.3566,0.7825,0.5819,1,2,0,0
0.5316,2.2309,0.6316,4,7,0.1033,9,19,0.5668,0.488,0.5829,0.4666,1,1,1,2
0.4471,1.5019,0.5372,1,6,0.1394,45,13,0.391,0.4949,0.6441,0.1315,0,1,1,1
0.4468,11.405,0.5077,6,3,0.413,46,6,0.401,0.5701,0.2261,0.6634,1,0,1,1
0.3476,2.0578,0.3584,5,4,0.6682,18,11,0.1304,0.0573,0.9378,0.4138,0,2,0,0
0.6389,7.2237,0.629,2,2,0.6294,19,8,0.8251,0.8291,0.2617,0.682,2,0,2,0
0.618,1.6649,0.6357,3,4,0.6853,7,1,0.3961,0.882,0.806,0.1888,0,2,2,2
0.5255,3.3879,0.6272,3,4,0.4839,30,9,0.9412,0.1262,0.628,0.4243,1,1,0,1
0.4725,7.2347,0.397,6,6,0.3486,25,8,0.3698,0.2172,0.5941,0.5701,1,1,0,0
0.462,9.6781,0.5806,0,9,0.4417,49,20,0.6844,0.1518,0.4834,0.6714,1,1,0,0
0.517,2.0541,0.6176,4,4,0.3264,40,6,0.1296,0.4752,0.7175,0.9144,1,2,1,2
0.5768,11.1901,0.6303,4,5,0.712,14,1,0.5114,0.4723,0.7104,0.4289,1,2,1,1
0.269,2.3664,0.3222,6,3,0.4803,31,6,0.1053,0.4758,0.2022,0.0965,0,0,1,2
0.3004,6.1899,0.2829,2,8,0.7674,30,3,0.1693,0.3029,0.8221,0.0628,0,2,0,0
0.5685,6.7075,0.5463,4,2,0.9439,47,3,0.4864,0.7694,0.8258,0.3586,1,2,2,0
0.4897,3.2598,0.5657,2,7,0.3788,38,2,0.4462,0.6238,0.2398,0.7109,1,0,1,2
0.5808,11.2358,0.5196,4,9,0.4264,44,0,0.7272,0.5293,0.3918,0.685,2,0,1,1
0.6084,5.0172,0.5707,1,6,0.2537,46,17,0.6646,0.0869,0.8759,0.6237,1,2,0,0
0.6546,3.3891,0.5945,3,7,0.5202,17,14,0.402,0.7458,0.7242,0.7109,1,2,2,0
0.1703,2.4654,0.1692,5,10,0.8916,10,0,0.0608,0.1379,0.1435,0.4513,0,0,0,2
0.6294,7.4437,0.5262,5,6,0.9188,33,18,0.9054,0.6243,0.6873,0.158,1,1,1,0
0.6087,9.5837,0.5355,1,1,0.3072,21,18,0.278,0.4703,0.8926,0.6249,1,2,1,0
0.4449,11.2502,0.3655,1,5,0.5798,22,10,0.7494,0.3945,0.3494,0.1041,1,0,0,0
0.4905,7.4991,0.5281,3,9,0.2381,5,1,0.1795,0.7418,0.2465,0.629,1,0,2,2
0.5636,6.9115,0.662,3,4,0.8929,45,11,0.184,0.6263,0.8896,0.6481,1,2,1,0
0.6642,7.4561,0.8524,2,5,0.8883,41,10,0.8096,0.7528,0.7568,0.5361,1,2,2,0
0.522,9.5483,0.6588,1,0,0.6154,4,9,0.4106,0.619,0.9129,0.1316,0,2,1,0
0.5507,9.2209,0.5275,1,7,0.1329,4,13,0.3957,0.2219,0.6763,0.8568,1,1,0,1
0.4101,11.9563,0.4628,0,8,0.0352,42,9,0.5837,0.4903,0.1067,0.5365,1,0,1,0
0.4138,7.5831,0.4875,0,1,0.8786,44,3,0.0885,0.1564,0.7764,0.6506,0,2,0,0
0.5401,4.727,0.4526,3,2,0.754,9,1,0.6384,0.4741,0.8762,0.0912,0,2,1,2
0.5327,10.021,0.4579,4,3,0.9331,40,9,0.5819,0.786,0.1457,0.4974,1,0,2,0
0.6476,2.7678,0.7093,2,6,0.1342,30,7,0.9283,0.5684,0.1736,0.8028,2,0,1,1
0.4506,1.6641,0.6025,0,2,0.4626,31,16,0.5481,0.4448,0.8831,0.0866,0,2,1,1
0.5406,8.2182,0.603,2,9,0.4969,35,4,0.1302,0.6366,0.8482,0.4246,0,2,1,1
0.3939,1.548,0.4056,1,6,0.2239,39,7,0.5995,0.0839,0.212,0.4999,1,0,0,1
0.4176,3.534,0.5382,4,10,0.7568,33,6,0.1361,0.3757,0.735,0.5358,0,2,0,1
0.3714,9.9541,0.3282,0,8,0.7205,22,7,0.477,0.2087,0.6531,0.0888,0,1,0,0
0.5452,4.9227,0.7073,4,3,0.1888,36,12,0.8824,0.2083,0.7569,0.4866,1,2,0,1
0.5237,6.5863,0.4806,1,9,0.846,11,9,0.7511,0.3435,0.1383,0.714,2,0,0,0
0.4454,8.7682,0.5761,1,9,0.0567,10,3,0.4595,0.3986,0.1728,0.6978,1,0,0,2
0.4788,3.2843,0.5658,5,1,0.9216,32,12,0.4627,0.2041,0.3592,0.8478,1,0,0,0
0.7437,4.0899,0.6798,3,7,0.3109,37,15,0.8213,0.4903,0.9461,0.5824,2,2,1,1
0.3949,1.853,0.2569,3,9,0.5046,24,15,0.5826,0.1841,0.5663,0.0546,0,1,0,0
0.4676,4.6058,0.5993,1,5,0.6153,47,3,0.7892,0.4572,0.2665,0.5526,1,0,1,1
0.5905,5.7563,0.6517,2,4,0.7504,39,17,0.3244,0.683,0.8221,0.7226,1,2,1,0
0.5863,11.434,0.5112,4,7,0.5153,21,5,0.6201,0.8243,0.1136,0.8541,2,0,2,0
0.4888,5.3387,0.513,2,2,0.5882,44,2,0.1229,0.8428,0.7122,0.0993,0,2,2,0
0.4446,11.3611,0.3561,6,2,0.5511,6,10,0.5529,0.1103,0.6884,0.2342,0,1,0,0
0.4259,6.6054,0.3771,1,8,0.5003,3,7,0.7205,0.2529,0.3674,0.2906,1,0,0,0
0.558,2.1891,0.6643,3,1,0.8473,40,19,0.6605,0.5296,0.313,0.6089,1,0,1,0
0.5344,6.9672,0.631,2,9,0.5959,25,17,0.8582,0.3095,0.911,0.1484,1,2,0,0
0.3939,3.9394,0.3523,4,4,0.9001,3,17,0.5373,0.1688,0.362,0.4495,1,0,0,1
0.4991,2.8855,0.5899,1,3,0.7499,22,6,0.3585,0.6314,0.3437,0.584,1,0,1,1
0.5465,8.974,0.5752,5,8,0.271,8,18,0.4858,0.9237,0.7428,0.0926,0,2,2,1
0.398,3.4372,0.423,0,3,0.5344,6,5,0.6736,0.6497,0.1881,0.2641,1,0,1,2
0.3495,3.0265,0.4994,2,0,0.4351,20,10,0.3595,0.3856,0.5359,0.1963,0,1,0,1
0.6663,7.5241,0.6414,3,8,0.1397,47,20,0.7146,0.928,0.3482,0.6849,1,0,2,0
0.6356,10.3292,0.7094,0,0,0.4237,15,8,0.4479,0.6702,0.7085,0.8602,1,2,1,1
0.5639,8.5514,0.4917,3,2,0.083,27,9,0.6272,0.5751,0.2499,0.8921,2,0,1,0
0.6604,5.4147,0.6113,2,8,0.2704,43,7,0.336,0.5946,0.8991,0.8676,1,2,1,0
0.5794,11.6888,0.6311,5,1,0.4026,14,16,0.8369,0.1288,0.7051,0.4498,1,2,0,1
0.3918,9.4392,0.5017,3,10,0.084,3,19,0.5785,0.1275,0.237,0.4772,1,0,0,1
0.5617,1.9434,0.5446,4,3,0.7849,19,11,0.4231,0.5502,0.6892,0.7297,1,1,1,0
0.263,8.365,0.4257,3,6,0.8481,42,9,0.5534,0.4671,0.0742,0.0522,0,0,1,0
